date,count,package
2020-01-01,0,ORdensity
2020-01-02,0,ORdensity
2020-01-03,0,ORdensity
2020-01-04,0,ORdensity
2020-01-05,0,ORdensity
2020-01-06,0,ORdensity
2020-01-07,0,ORdensity
2020-01-08,0,ORdensity
2020-01-09,0,ORdensity
2020-01-10,0,ORdensity
2020-01-11,0,ORdensity
2020-01-12,0,ORdensity
2020-01-13,0,ORdensity
2020-01-14,0,ORdensity
2020-01-15,0,ORdensity
2020-01-16,0,ORdensity
2020-01-17,0,ORdensity
2020-01-18,0,ORdensity
2020-01-19,0,ORdensity
2020-01-20,0,ORdensity
2020-01-21,0,ORdensity
2020-01-22,0,ORdensity
2020-01-23,0,ORdensity
2020-01-24,0,ORdensity
2020-01-25,0,ORdensity
2020-01-26,0,ORdensity
2020-01-27,0,ORdensity
2020-01-28,0,ORdensity
2020-01-29,0,ORdensity
2020-01-30,0,ORdensity
2020-01-31,0,ORdensity
2020-02-01,0,ORdensity
2020-02-02,0,ORdensity
2020-02-03,0,ORdensity
2020-02-04,0,ORdensity
2020-02-05,0,ORdensity
2020-02-06,0,ORdensity
2020-02-07,0,ORdensity
2020-02-08,0,ORdensity
2020-02-09,0,ORdensity
2020-02-10,0,ORdensity
2020-02-11,0,ORdensity
2020-02-12,0,ORdensity
2020-02-13,0,ORdensity
2020-02-14,0,ORdensity
2020-02-15,0,ORdensity
2020-02-16,0,ORdensity
2020-02-17,0,ORdensity
2020-02-18,0,ORdensity
2020-02-19,0,ORdensity
2020-02-20,0,ORdensity
2020-02-21,0,ORdensity
2020-02-22,0,ORdensity
2020-02-23,0,ORdensity
2020-02-24,0,ORdensity
2020-02-25,0,ORdensity
2020-02-26,0,ORdensity
2020-02-27,0,ORdensity
2020-02-28,0,ORdensity
2020-02-29,0,ORdensity
2020-03-01,0,ORdensity
2020-03-02,0,ORdensity
2020-03-03,0,ORdensity
2020-03-04,0,ORdensity
2020-03-05,0,ORdensity
2020-03-06,0,ORdensity
2020-03-07,0,ORdensity
2020-03-08,0,ORdensity
2020-03-09,0,ORdensity
2020-03-10,0,ORdensity
2020-03-11,0,ORdensity
2020-03-12,0,ORdensity
2020-03-13,0,ORdensity
2020-03-14,0,ORdensity
2020-03-15,0,ORdensity
2020-03-16,0,ORdensity
2020-03-17,0,ORdensity
2020-03-18,0,ORdensity
2020-03-19,0,ORdensity
2020-03-20,0,ORdensity
2020-03-21,0,ORdensity
2020-03-22,0,ORdensity
2020-03-23,0,ORdensity
2020-03-24,0,ORdensity
2020-03-25,0,ORdensity
2020-03-26,0,ORdensity
2020-03-27,0,ORdensity
2020-03-28,0,ORdensity
2020-03-29,0,ORdensity
2020-03-30,0,ORdensity
2020-03-31,0,ORdensity
2020-04-01,0,ORdensity
2020-04-02,0,ORdensity
2020-04-03,0,ORdensity
2020-04-04,0,ORdensity
2020-04-05,0,ORdensity
2020-04-06,0,ORdensity
2020-04-07,0,ORdensity
2020-04-08,0,ORdensity
2020-04-09,0,ORdensity
2020-04-10,0,ORdensity
2020-04-11,0,ORdensity
2020-04-12,0,ORdensity
2020-04-13,0,ORdensity
2020-04-14,0,ORdensity
2020-04-15,0,ORdensity
2020-04-16,0,ORdensity
2020-04-17,0,ORdensity
2020-04-18,0,ORdensity
2020-04-19,0,ORdensity
2020-04-20,0,ORdensity
2020-04-21,0,ORdensity
2020-04-22,0,ORdensity
2020-04-23,0,ORdensity
2020-04-24,0,ORdensity
2020-04-25,0,ORdensity
2020-04-26,0,ORdensity
2020-04-27,0,ORdensity
2020-04-28,0,ORdensity
2020-04-29,0,ORdensity
2020-04-30,0,ORdensity
2020-05-01,0,ORdensity
2020-05-02,0,ORdensity
2020-05-03,0,ORdensity
2020-05-04,0,ORdensity
2020-05-05,0,ORdensity
2020-05-06,0,ORdensity
2020-05-07,0,ORdensity
2020-05-08,0,ORdensity
2020-05-09,0,ORdensity
2020-05-10,0,ORdensity
2020-05-11,0,ORdensity
2020-05-12,0,ORdensity
2020-05-13,8,ORdensity
2020-05-14,18,ORdensity
2020-05-15,21,ORdensity
2020-05-16,18,ORdensity
2020-05-17,30,ORdensity
2020-05-18,34,ORdensity
2020-05-19,25,ORdensity
2020-05-20,29,ORdensity
2020-05-21,17,ORdensity
2020-05-22,17,ORdensity
2020-05-23,12,ORdensity
2020-05-24,20,ORdensity
2020-05-25,15,ORdensity
2020-05-26,24,ORdensity
2020-05-27,22,ORdensity
2020-05-28,12,ORdensity
2020-05-29,10,ORdensity
2020-05-30,12,ORdensity
2020-05-31,13,ORdensity
2020-06-01,11,ORdensity
2020-06-02,13,ORdensity
2020-06-03,10,ORdensity
2020-06-04,11,ORdensity
2020-06-05,26,ORdensity
2020-06-06,8,ORdensity
2020-06-07,11,ORdensity
2020-06-08,13,ORdensity
2020-06-09,12,ORdensity
2020-06-10,25,ORdensity
2020-06-11,14,ORdensity
2020-06-12,10,ORdensity
2020-06-13,10,ORdensity
2020-06-14,14,ORdensity
2020-06-15,16,ORdensity
2020-06-16,11,ORdensity
2020-06-17,12,ORdensity
2020-06-18,20,ORdensity
2020-06-19,17,ORdensity
2020-06-20,9,ORdensity
2020-06-21,11,ORdensity
2020-06-22,16,ORdensity
2020-06-23,20,ORdensity
2020-06-24,11,ORdensity
2020-06-25,9,ORdensity
2020-06-26,14,ORdensity
2020-06-27,12,ORdensity
2020-06-28,11,ORdensity
2020-06-29,11,ORdensity
2020-06-30,7,ORdensity
2020-07-01,12,ORdensity
2020-07-02,16,ORdensity
2020-07-03,14,ORdensity
2020-07-04,14,ORdensity
2020-07-05,13,ORdensity
2020-07-06,9,ORdensity
2020-07-07,17,ORdensity
2020-07-08,13,ORdensity
2020-07-09,10,ORdensity
2020-07-10,8,ORdensity
2020-07-11,7,ORdensity
2020-07-12,11,ORdensity
2020-07-13,13,ORdensity
2020-07-14,9,ORdensity
